wavelength,Rh1_fit_norm,Rh3_fit_norm,Rh4_fit_norm,Rh5_fit_norm,Rh6_fit_norm
429,0.565737708,0.083577438,0.290707676,0.995003496,0.414645779
430,0.568300695,0.079058966,0.281495648,0.993398556,0.41587663
431,0.570911501,0.074738767,0.272462637,0.99157339,0.417076496
432,0.573561232,0.070611177,0.263610261,0.989529223,0.418245269
433,0.576241379,0.066670497,0.254939864,0.987267423,0.419382854
434,0.578943813,0.06291101,0.246452526,0.984789503,0.420489168
435,0.581660782,0.059326995,0.238149065,0.982097117,0.421564146
436,0.584384902,0.055912738,0.23003005,0.979192058,0.422607734
437,0.587109152,0.052662551,0.222095802,0.97607626,0.423619898
438,0.589826865,0.04957078,0.214346408,0.972751789,0.424600617
439,0.592531717,0.046631816,0.206781725,0.969220848,0.425549892
440,0.59521772,0.043840109,0.19940139,0.965485769,0.426467739
441,0.59787921,0.041190176,0.192204829,0.961549014,0.427354195
442,0.600510835,0.038676609,0.185191262,0.957413169,0.428209318
443,0.603107544,0.036294086,0.178359717,0.953080944,0.429033188
444,0.605664576,0.034037374,0.171709032,0.94855517,0.429825907
445,0.60817745,0.031901343,0.16523787,0.943838795,0.430587601
446,0.610641948,0.029880963,0.158944726,0.938934878,0.431318423
447,0.613054109,0.027971319,0.152827933,0.933846592,0.43201855
448,0.615410216,0.026167608,0.146885675,0.928577215,0.432688188
449,0.617706781,0.024465147,0.141115991,0.92313013,0.433327575
450,0.619940539,0.022859375,0.135516788,0.917508818,0.433936976
